"MEMBER.ID"	"MEMBER.TYPE"	"MARKETING.ROLE"	"MEMBER.SINCE.DATE"	"EXPIRATION.DATE"	"STATUS"	"MARKETINGPOWER.STATUS"	"PREFIX"	"SUFFIX"	"ADDRESS.CHANGE.DATE"	"COMMUNICATION.CHANGE.DATE"	"ALLOW.EMAIL.FLAG"	"COMPANY.NAME"	"JOB.TITLE"	"PRIMARY.ADDRESS.TYPE"	"PRIMARY.CITY"	"PRIMARY.STATE"	"PRIMARY.POSTAL.CODE"	"PRIMARY.COUNTRY"	"PRIMARY.PHONE.LOCATION"	"ALLOW.PHONE.CALLS"	"SECONDARY.ADDRESS.TYPE"	"SECONDARY.CITY"	"SECONDARY.STATE"	"SECONDARY.POSTAL.CODE"	"SECONDARY.COUNTRY"	"GROUP"	"MARKETING.RESPONSIBILITY"	"STUDENT.GRADUATION.DATE"	"HIGHEST.DEGREE"	"YEARS.IN.MARKETING"	"JOB.TITLE.CATEGORY"	"INDUSTRY"	"COMPANY.SALES.REVENUE"	"COMPANY.SIZE"	"RESPONSIBILITY.TYPE"	"YEARS.EMPLOYED.AT.COMPANY"	"AGE.CATEGORY"	"NUMBER.OF.OTHER.ASSOCS"	"PAID.BY.COMPANY"	"PRIMARY.TOPIC.AREA"	"SECONDARY.TOPIC.AREA"	"TERTIARY.TOPIC.AREA"	"DATE.LAST.MODIFIED"	"DATE.PULLED"	"MEMBER.FOCUS"	"AUTO.RENEWAL"	"MARKET.CODE"	"RENEW"
3066484	"PROFESSIONAL"	"Academics"	2008-04-28	2014-04-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	"AssistantProfessor"	"HOME"	"New London"	"NH"	"03257-5964"	"United States"	"WORK"	"N"	"BUS"	"New London"	"NH"	"03257"	"United States"	"No"	"Education"	NA	"Masters"	"10 to 19"	"Academic/Professor"	"Education"	"0 to 50 Million"	"50 to 249"	"B to C"	NA	"55 to 64"	"0 to 1"	"N"	"Higher Education Marketing"	"Marketing Communications"	"Strategy/Planning"	"04/21/2011"	2013-12-31	NA	NA	NA	1
3154719	"PROFESSIONAL"	"Marketers"	2009-04-14	2014-04-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"N"	NA	NA	"HOME"	"Bristol"	"RI"	"02809"	"United States"	"CELL"	"N"	"BUS"	"Lincoln"	"RI"	"02865"	"United States"	"No"	"Brand Manager"	NA	"Bachelors"	"20PLUS"	"Vice President/EVP"	"Other"	"101M to 500M"	"250 to 999"	"B to B"	NA	"45 to 54"	"0 to 1"	"N"	"Brand/Product Management"	"Global Marketing"	"Strategy/Planning"	"09/10/2010"	2013-12-31	NA	NA	NA	0
3190573	"PROFESSIONAL"	"Marketers"	1998-09-01	2014-04-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"N/A"	"Marketing Manager"	"HOME"	"Brockton"	"MA"	"02301"	NA	"CELL"	"N"	"HOME"	"Brockton"	"MA"	"02301-5045"	"United States"	"No"	"Marketing Communications"	NA	"Bachelors"	"10 to 19"	"Manager/Sr. Manager"	"Government/Public Administration"	NA	"250 to 999"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Brand/Product Management"	"Marketing Communications"	"Professional Development"	"08/14/2013"	2013-12-31	NA	NA	NA	0
3191654	"PROFESSIONAL"	"Marketers"	2010-04-21	2014-04-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Wolf & Company PC"	"Marketing & Business Development"	"BUS"	"Boston"	"MA"	"02110"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Professional Services"	"0 to 50 Million"	"50 to 249"	"B to B"	NA	"22 to 34"	"0 to 1"	"Y"	"Brand/Product Management"	"Marketing Communications"	"Strategy/Planning"	"03/07/2012"	2013-12-31	NA	NA	NA	1
3220101	"PROFESSIONAL"	"Marketers"	2011-02-01	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	"Y"	"MAPFRE Insuracne"	"Manager Corporate Communications Marketing"	"BUS"	"Columbus"	"OH"	"43204"	"United States"	"WORK"	"Y"	"HOME"	"Hilliard"	"OH"	"43026"	"United States"	"Yes"	"Brand Manager"	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Marketing Communications"	"Professional Development"	"Sales/Sales Management"	"04/02/2013"	2013-12-31	NA	NA	NA	1
3226526	"PROFESSIONAL"	"Marketers"	2011-04-21	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Dotted Line Communications"	"Account Supervisor"	"HOME"	"West Newbury"	"MA"	"01985"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Public Relations"	NA	"Bachelors"	"10 to 19"	"Manager/Sr. Manager"	"Other"	"0 to 50 Million"	"1 to 9"	"B to C"	NA	"35 to 44"	"0 to 1"	"Y"	"Public Relations"	"Online/Interactive Marketing"	"Advertising"	"04/21/2011"	2013-12-31	NA	NA	NA	1
3231447	"PROFESSIONAL"	"Marketers"	2011-06-24	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Worcester Polytechnic Institute"	"Chief Marketing Officer"	"BUS"	"Worcester"	"MA"	"01609"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Higher Education Marketing"	NA	"Bachelors"	"20PLUS"	"CMO"	"Education"	NA	"250 to 999"	"B to C"	NA	"35 to 44"	"2 to 3"	"Y"	"Brand/Product Management"	"Higher Education Marketing"	"Academia"	"11/09/2012"	2013-12-31	NA	NA	NA	1
3247878	"PROFESSIONAL"	"Marketers"	2012-04-27	2014-04-30	"CURRENT"	"UNCONFIRMED"	NA	NA	NA	NA	"Y"	"IC Federal Credit Union"	"Marketing Coordinator"	"BUS"	"Fitchburg"	"MA"	"01420"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Other"	NA	"High School"	"5 to 9"	"Assitant/Coordinator"	"Financial Services"	"101M to 500M"	"50 to 249"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Advertising"	"Email Marketing"	"Professional Development"	"04/27/2012"	2013-12-31	NA	NA	NA	1
3254724	"PROFESSIONAL"	"Marketers"	2012-04-03	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"N"	"Prolifik Talent Management"	"Partner"	"HOME"	"Medway"	"MA"	"02053"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"06/05/2010"	"Bachelors"	"5 to 9"	"Principal/Partner"	"Arts & Entertainment"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Brand/Product Management"	"Promotion Marketing"	"04/03/2012"	2013-12-31	NA	NA	NA	0
3254940	"PROFESSIONAL"	"Student"	2012-04-07	2014-04-30	"CURRENT"	"CONFIRMED"	"MISS"	NA	NA	NA	"N"	"John Cabot University"	"Student"	"HOME"	"South Easton"	"MA"	"02375"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	NA	"05/13/2013"	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	"N"	"Advertising"	"Global Marketing"	"Nonprofit Marketing"	"04/07/2012"	2013-12-31	NA	NA	NA	0
3272209	"PROFESSIONAL"	"Marketers"	2013-04-15	2014-04-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Intellectual Impact"	"Managing Principal"	"HOME"	"Cranston"	"RI"	"02905"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	"Less Than 5"	"Manager/Sr. Manager"	"Education"	NA	"1 to 9"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Product Management/Development"	"Professional Services"	"04/15/2013"	2013-12-31	NA	NA	NA	0
3277499	"PROFESSIONAL"	"Marketers"	2013-04-04	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	"Y"	"MAPFRE Insurance"	"Director Corporate Communications Marketing"	"BUS"	"Webster"	"MA"	"01570"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Advertising"	"Brand/Product Management"	"Public Relations"	"04/03/2013"	2013-12-31	NA	NA	NA	1
3277501	"PROFESSIONAL"	"Marketers"	2013-04-04	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	"Y"	"MAPFRE Insurance"	"Senior Corporate Marketing Communs Specialist"	"BUS"	"Webster"	"MA"	"01570"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Brand/Product Management"	"Customer Engagement"	"Direct Marketing"	"04/02/2013"	2013-12-31	NA	NA	NA	1
3277503	"PROFESSIONAL"	"Marketers"	2013-04-04	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"MAPFRE Insurance"	"Senior Creative Consultant"	"BUS"	"Webster"	"MA"	"01570"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Advertising"	"Analytics/Metrics"	"Marketing Communications"	"04/03/2013"	2013-12-31	NA	NA	NA	1
3277548	"PROFESSIONAL"	"Marketers"	2013-04-03	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"N"	"Stonehill College"	"Copywriter"	"SCHL"	"Easton"	"MA"	"02357"	"United States"	"SCHL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Other"	"Education"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Academia"	"Email Marketing"	"Higher Education Marketing"	"09/18/2013"	2013-12-31	NA	NA	NA	1
3278577	"PROFESSIONAL"	"Academics"	2013-04-17	2014-04-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"Y"	"Year Up"	"Business Communications Instructor"	"SCHL"	"Providence"	"RI"	"02903"	"United States"	"SCHL"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Academic/Professor"	"Nonprofit"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Academia"	"Higher Education Marketing"	"Marketing Communications"	"04/17/2013"	2013-12-31	NA	NA	NA	1
3278660	"PROFESSIONAL"	"Marketers"	2013-04-18	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"NETZSCH Instruments North America  LLC"	"Marketing Manager"	"BUS"	"Burlington"	"MA"	"01803"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Manager/Sr. Manager"	"Manufacturing"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Database/CRM"	"Direct Marketing"	"Email Marketing"	"04/18/2013"	2013-12-31	NA	NA	NA	1
3278834	"STUDENT"	"Student"	2013-04-20	2014-04-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"University of Phoenix"	"MBA Marketing Student"	"HOME"	"Sanford"	"ME"	"04073"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	NA	"12/20/2013"	"Bachelors"	"5 to 9"	"Student"	"Retail"	NA	"25000PLUS"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Direct Marketing"	"Global Marketing"	"04/20/2013"	2013-12-31	NA	NA	NA	0
3278881	"DOCTORAL"	"Doctoral"	2013-04-22	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Northeastern University"	"Doctoral Student"	"SCHL"	"Boston"	"MA"	"02115"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"08/31/2013"	"Masters"	"Less Than 5"	"Student"	NA	NA	NA	"B to B"	NA	NA	NA	"N"	"Academia"	"Higher Education Marketing"	"Marketing Research"	"04/22/2013"	2013-12-31	NA	NA	NA	0
3278972	"PROFESSIONAL"	"Marketers"	2013-04-23	2014-04-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"Conservation Law Foundations"	"Sr Communications Manager"	"BUS"	"Boston"	"MA"	"02110"	"United States"	"WORK"	"Y"	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Nonprofit"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Email Marketing"	"Online/Interactive Marketing"	"Social Media"	"04/23/2013"	2013-12-31	NA	NA	NA	0
3279317	"DOCTORAL"	"Doctoral"	2013-04-29	2014-04-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	"Y"	"Northeastern University"	"Doctoral Student"	"SCHL"	"Boston"	"MA"	"02115"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"06/30/2016"	"Bachelors"	"Less Than 5"	"Student"	NA	NA	NA	"B to C"	NA	NA	NA	"N"	"Academia"	"Customer Engagement"	"Marketing Research"	"04/29/2013"	2013-12-31	NA	NA	NA	0
3279329	"YOUNG PROFESSIONAL"	"Academics"	2013-04-29	2014-04-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	"N"	"Michigan State University"	NA	"BUS"	"East Lansing"	"MI"	"48824"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	NA	"12/29/2010"	"Doctorate"	"Less Than 5"	"Academic/Professor"	"Advertising"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Academia"	"Advertising"	"Marketing Communications"	"07/17/2013"	2013-12-31	NA	NA	NA	0
2110907	"PROFESSIONAL"	"Researchers"	2001-10-16	2014-05-31	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	"Y"	"Kadence International"	"Chief Executive Officer"	"BUS"	"Framingham"	"MA"	"01702-8172"	"United States"	"HOME"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"B to B"	NA	NA	NA	"N"	"Marketing Research"	"Strategy/Planning"	"Global Marketing"	"07/17/2013"	2014-01-31	NA	NA	NA	0
2817020	"PROFESSIONAL"	"Marketers"	2001-01-30	2014-05-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Suffolk University"	"Director of Creative Services"	"BUS"	"Boston"	"MA"	"02108"	"United States"	"WORK"	"Y"	"BUS"	"Boston"	"MA"	"02116"	"United States"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Higher Education Marketing"	"Marketing Communications"	"Online/Interactive Marketing"	"11/03/2009"	2014-01-31	NA	NA	NA	0
2854727	"PROFESSIONAL"	"Marketers"	2002-04-04	2014-05-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"J Angel Communications LLC"	"President"	"BUS"	"Scituate"	"MA"	"02066"	"United States"	"WORK"	"Y"	"HOME"	"Scituate"	"MA"	"02066-3405"	"United States"	"No"	NA	NA	NA	NA	NA	"Health Care Services"	NA	NA	"B to C"	NA	NA	NA	NA	"Marketing Communications"	"Public Relations"	"Strategy/Planning"	"04/30/2008"	2014-01-31	NA	NA	NA	1
2922291	"PROFESSIONAL"	"Marketers"	2004-05-10	2014-05-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"Liberty Mutual"	"VP & Manager Direct Marketing"	"BUS"	"Boston"	"MA"	"02116"	"United States"	"WORK"	"N"	"HOME"	"Worcester"	"MA"	"01609"	"United States"	"No"	NA	NA	"Bachelors"	"20PLUS"	"Vice President/EVP"	"Financial Services"	NA	"25000PLUS"	"B to C"	NA	NA	NA	"N"	"Direct Marketing"	"Online/Interactive Marketing"	"Strategy/Planning"	"06/07/2013"	2014-01-31	NA	NA	NA	1
2922610	"PROFESSIONAL"	"Marketers"	2004-05-18	2014-05-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Arlington"	"MA"	"02474"	"United States"	"CELL"	"N"	NA	NA	NA	NA	NA	"No"	"Online/Interactive"	NA	"Masters"	"20PLUS"	"Vice President/EVP"	"Advertising"	"51M to 100M"	"10 to 49"	"B to B"	NA	"55 to 64"	"2 to 3"	"N"	"Customer Engagement"	"Other"	"Sales/Sales Management"	"03/07/2013"	2014-01-31	NA	NA	NA	1
2979110	"PROFESSIONAL"	"Marketers"	2005-12-21	2014-05-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	"Y"	"WS Development"	"Marketing Communications Manager"	"BUS"	"Chestnut Hill"	"MA"	"02467"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	NA	"Less Than 5"	"Manager/Sr. Manager"	"Real Estate Rental & Leasing"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Brand/Product Management"	"Strategy/Planning"	NA	"05/06/2013"	2014-01-31	NA	NA	NA	0
3039882	"PROFESSIONAL"	"Marketers"	2007-05-15	2014-05-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Watertown"	"MA"	"02472"	"United States"	NA	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Bachelors"	"20PLUS"	"Consultant"	"Advertising"	"0 to 50 Million"	"1 to 9"	"B to B"	"20PLUS"	"45 to 54"	"0 to 1"	NA	"Brand/Product Management"	"Marketing Communications"	"Advertising"	"07/31/2008"	2014-01-31	NA	NA	NA	1
3040738	"PROFESSIONAL"	"Researchers"	2007-05-29	2014-05-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Informed Business Decisions Inc"	NA	"BUS"	"Canton"	"MA"	"02021"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Strategy/Planning"	NA	"Masters"	"20PLUS"	"Consultant"	"Marketing Research"	"0 to 50 Million"	"1 to 9"	"B to C"	NA	"Decline"	"2 to 3"	"Y"	"Marketing Research"	"Strategy/Planning"	"Global Marketing"	"08/20/2010"	2014-01-31	NA	NA	NA	1
3044476	"PROFESSIONAL"	"Marketers"	2007-07-31	2014-05-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	"Y"	"Blue Coda"	"Director of Client Services"	"BUS"	"Cambridge"	"MA"	"02141"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Customer Service"	NA	"Bachelors"	"10 to 19"	"Director/Sr. Director"	"Professional Services"	"0 to 50 Million"	"10 to 49"	"B to B"	NA	"22 to 34"	"2 to 3"	"Y"	"Sales/Sales Management"	"Professional Services"	"Online/Interactive Marketing"	"12/07/2011"	2014-01-31	NA	NA	NA	1
3055419	"PROFESSIONAL"	"Marketers"	2007-12-05	2014-05-31	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	"Y"	NA	NA	"HOME"	"Boston"	"MA"	"02205"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	"Health Care Services"	NA	NA	"B to C"	NA	NA	NA	NA	"Strategy/Planning"	"Online/Interactive Marketing"	NA	"05/29/2013"	2014-01-31	NA	NA	NA	1
3061037	"PROFESSIONAL"	"Marketers"	2008-02-26	2014-05-31	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	"Y"	"Autopart International"	"Director of Marketing"	"BUS"	"Norton"	"MA"	"02766"	"United States"	"WORK"	"N"	NA	NA	NA	NA	NA	"No"	"Brand Manager"	NA	"Bachelors"	"5 to 9"	"Director/Sr. Director"	"Other"	"101M to 500M"	"1000 to 4999"	"B to B"	NA	"35 to 44"	"0 to 1"	"N"	"Brand/Product Management"	"Customer Engagement"	"Marketing Communications"	"04/17/2013"	2014-01-31	NA	NA	NA	0
